alpha,metric,group,data,opt
0.8,recall,56+,0.011081392456695243,baseline
0.8,precision,Overall,0.05702655405919502,baseline
0.8,precision,Male,0.05662349131586694,baseline
0.8,precision,Female,0.054427549194991064,baseline
0.8,precision,Under 18,0.056688453159041405,baseline
0.8,precision,18-24,0.054349951124144674,baseline
0.8,precision,25-34,0.05800293685756241,baseline
0.8,precision,35-44,0.06225961538461538,baseline
0.8,precision,45-49,0.056756756756756746,baseline
0.8,precision,50-55,0.052000000000000005,baseline
0.8,precision,56+,0.045000000000000005,baseline
0.8,LIR,Overall,0.0599346788647106,baseline
0.8,LIR,Male,0.06149888402579095,baseline
0.8,LIR,Female,0.05514129372229773,baseline
0.8,LIR,Under 18,0.05398570550714413,baseline
0.8,LIR,18-24,0.06510441912756582,baseline
0.8,LIR,25-34,0.058624641727220816,baseline
0.8,LIR,35-44,0.04985755258342139,baseline
0.8,LIR,45-49,0.06407895946389626,baseline
0.8,LIR,50-55,0.033651337902266626,baseline
0.8,LIR,56+,0.06514231052586128,baseline
0.8,SEP,Overall,0.8763715597910752,baseline
0.8,SEP,Male,0.875777221469814,baseline
0.8,SEP,Female,0.8776335440517049,baseline
0.8,SEP,Under 18,0.8771710345936206,baseline
0.8,SEP,18-24,0.8754412409592705,baseline
0.8,SEP,25-34,0.8768515634881254,baseline
0.8,SEP,35-44,0.8737363664474844,baseline
0.8,SEP,45-49,0.8906424162182262,baseline
0.8,SEP,50-55,0.8665703966025603,baseline
0.8,SEP,56+,0.8815153430840417,baseline
0.8,ETD,Overall,0.29345566027713277,baseline
0.8,ETD,Male,0.2949272802213979,baseline
0.8,ETD,Female,0.2926774784434616,baseline
0.8,ETD,Under 18,0.2939632545931759,baseline
0.8,ETD,18-24,0.2949945967187347,baseline
0.8,ETD,25-34,0.29499421296296297,baseline
0.8,ETD,35-44,0.2911877394636016,baseline
0.8,ETD,45-49,0.2981715893108297,baseline
0.8,ETD,50-55,0.2797619047619047,baseline
0.8,ETD,56+,0.27614379084967317,baseline
0.85,ndcg,Overall,0.19699498897658932,baseline
0.85,ndcg,Male,0.19744398880184813,baseline
0.85,ndcg,Female,0.19111510725859554,baseline
0.85,ndcg,Under 18,0.19824689282521774,baseline
0.85,ndcg,18-24,0.19277614439357882,baseline
0.85,ndcg,25-34,0.19899095017162174,baseline
0.85,ndcg,35-44,0.21902296545454375,baseline
0.85,ndcg,45-49,0.17201205770758077,baseline
0.85,ndcg,50-55,0.12691837961999453,baseline
0.85,ndcg,56+,0.1370726962750365,baseline
0.85,hr,Overall,0.3015293312029217,baseline
0.85,hr,Male,0.30129526052399175,baseline
0.85,hr,Female,0.29159212880143115,baseline
0.85,hr,Under 18,0.3054466230936819,baseline
0.85,hr,18-24,0.29105571847507333,baseline
0.85,hr,25-34,0.3069016152716593,baseline
0.85,hr,35-44,0.33413461538461536,baseline
0.85,hr,45-49,0.24324324324324326,baseline
0.85,hr,50-55,0.18,baseline
0.85,hr,56+,0.23333333333333334,baseline
0.85,recall,Overall,0.024321063643972657,baseline
0.85,recall,Male,0.022972020747230013,baseline
0.85,recall,Female,0.024449449314599084,baseline
0.85,recall,Under 18,0.024326629018031076,baseline
0.85,recall,18-24,0.02293625005984219,baseline
0.85,recall,25-34,0.024135155133591633,baseline
0.85,recall,35-44,0.022306432148215236,baseline
0.85,recall,45-49,0.014448372485661836,baseline
0.85,recall,50-55,0.014689359198855372,baseline
0.85,recall,56+,0.011081392456695243,baseline
0.85,precision,Overall,0.05702655405919502,baseline
0.85,precision,Male,0.05662349131586694,baseline
0.85,precision,Female,0.054427549194991064,baseline
0.85,precision,Under 18,0.056688453159041405,baseline
0.85,precision,18-24,0.054349951124144674,baseline
0.85,precision,25-34,0.05800293685756241,baseline
0.85,precision,35-44,0.06225961538461538,baseline
0.85,precision,45-49,0.056756756756756746,baseline
0.85,precision,50-55,0.052000000000000005,baseline
0.85,precision,56+,0.045000000000000005,baseline
0.85,LIR,Overall,0.0599346788647106,baseline
0.85,LIR,Male,0.06149888402579095,baseline
0.85,LIR,Female,0.05514129372229773,baseline
0.85,LIR,Under 18,0.05398570550714413,baseline
0.85,LIR,18-24,0.06510441912756582,baseline
0.85,LIR,25-34,0.058624641727220816,baseline
0.85,LIR,35-44,0.04985755258342139,baseline
0.85,LIR,45-49,0.06407895946389626,baseline
0.85,LIR,50-55,0.033651337902266626,baseline
0.85,LIR,56+,0.06514231052586128,baseline
0.85,SEP,Overall,0.8763715597910752,baseline
0.85,SEP,Male,0.875777221469814,baseline
0.85,SEP,Female,0.8776335440517049,baseline
0.85,SEP,Under 18,0.8771710345936206,baseline
0.85,SEP,18-24,0.8754412409592705,baseline
0.85,SEP,25-34,0.8768515634881254,baseline
0.85,SEP,35-44,0.8737363664474844,baseline
0.85,SEP,45-49,0.8906424162182262,baseline
0.85,SEP,50-55,0.8665703966025603,baseline
0.85,SEP,56+,0.8815153430840417,baseline
0.85,ETD,Overall,0.29345566027713277,baseline
0.85,ETD,Male,0.2949272802213979,baseline
0.85,ETD,Female,0.2926774784434616,baseline
0.85,ETD,Under 18,0.2939632545931759,baseline
0.85,ETD,18-24,0.2949945967187347,baseline
0.85,ETD,25-34,0.29499421296296297,baseline
0.85,ETD,35-44,0.2911877394636016,baseline
0.85,ETD,45-49,0.2981715893108297,baseline
0.85,ETD,50-55,0.2797619047619047,baseline
0.85,ETD,56+,0.27614379084967317,baseline
0.9,ndcg,Overall,0.19699498897658932,baseline
0.9,ndcg,Male,0.19744398880184813,baseline
0.9,ndcg,Female,0.19111510725859554,baseline
0.9,ndcg,Under 18,0.19824689282521774,baseline
0.9,ndcg,18-24,0.19277614439357882,baseline
0.9,ndcg,25-34,0.19899095017162174,baseline
0.9,ndcg,35-44,0.21902296545454375,baseline
0.9,ndcg,45-49,0.17201205770758077,baseline
0.9,ndcg,50-55,0.12691837961999453,baseline
0.9,ndcg,56+,0.1370726962750365,baseline
0.9,hr,Overall,0.3015293312029217,baseline
0.9,hr,Male,0.30129526052399175,baseline
0.9,hr,Female,0.29159212880143115,baseline
0.9,hr,Under 18,0.3054466230936819,baseline
0.9,hr,18-24,0.29105571847507333,baseline
0.9,hr,25-34,0.3069016152716593,baseline
0.9,hr,35-44,0.33413461538461536,baseline
0.9,hr,45-49,0.24324324324324326,baseline
0.9,hr,50-55,0.18,baseline
0.9,hr,56+,0.23333333333333334,baseline
0.9,recall,Overall,0.024321063643972657,baseline
0.9,recall,Male,0.022972020747230013,baseline
0.9,recall,Female,0.024449449314599084,baseline
0.9,recall,Under 18,0.024326629018031076,baseline
0.9,recall,18-24,0.02293625005984219,baseline
0.9,recall,25-34,0.024135155133591633,baseline
0.9,recall,35-44,0.022306432148215236,baseline
0.9,recall,45-49,0.014448372485661836,baseline
0.9,recall,50-55,0.014689359198855372,baseline
0.9,recall,56+,0.011081392456695243,baseline
0.9,precision,Overall,0.05702655405919502,baseline
0.9,precision,Male,0.05662349131586694,baseline
0.9,precision,Female,0.054427549194991064,baseline
0.9,precision,Under 18,0.056688453159041405,baseline
0.9,precision,18-24,0.054349951124144674,baseline
0.9,precision,25-34,0.05800293685756241,baseline
0.9,precision,35-44,0.06225961538461538,baseline
0.9,precision,45-49,0.056756756756756746,baseline
0.9,precision,50-55,0.052000000000000005,baseline
0.9,precision,56+,0.045000000000000005,baseline
0.9,LIR,Overall,0.0599346788647106,baseline
0.9,LIR,Male,0.06149888402579095,baseline
0.9,LIR,Female,0.05514129372229773,baseline
0.9,LIR,Under 18,0.05398570550714413,baseline
0.9,LIR,18-24,0.06510441912756582,baseline
0.9,LIR,25-34,0.058624641727220816,baseline
0.9,LIR,35-44,0.04985755258342139,baseline
0.9,LIR,45-49,0.06407895946389626,baseline
0.9,LIR,50-55,0.033651337902266626,baseline
0.9,LIR,56+,0.06514231052586128,baseline
0.9,SEP,Overall,0.8763715597910752,baseline
0.9,SEP,Male,0.875777221469814,baseline
0.9,SEP,Female,0.8776335440517049,baseline
0.9,SEP,Under 18,0.8771710345936206,baseline
0.9,SEP,18-24,0.8754412409592705,baseline
0.9,SEP,25-34,0.8768515634881254,baseline
0.9,SEP,35-44,0.8737363664474844,baseline
0.9,SEP,45-49,0.8906424162182262,baseline
0.9,SEP,50-55,0.8665703966025603,baseline
0.9,SEP,56+,0.8815153430840417,baseline
0.9,ETD,Overall,0.29345566027713277,baseline
0.9,ETD,Male,0.2949272802213979,baseline
0.9,ETD,Female,0.2926774784434616,baseline
0.9,ETD,Under 18,0.2939632545931759,baseline
0.9,ETD,18-24,0.2949945967187347,baseline
0.9,ETD,25-34,0.29499421296296297,baseline
0.9,ETD,35-44,0.2911877394636016,baseline
0.9,ETD,45-49,0.2981715893108297,baseline
0.9,ETD,50-55,0.2797619047619047,baseline
0.9,ETD,56+,0.27614379084967317,baseline
0.95,ndcg,Overall,0.19699498897658932,baseline
0.95,ndcg,Male,0.19744398880184813,baseline
0.95,ndcg,Female,0.19111510725859554,baseline
0.95,ndcg,Under 18,0.19824689282521774,baseline
0.95,ndcg,18-24,0.19277614439357882,baseline
0.95,ndcg,25-34,0.19899095017162174,baseline
0.95,ndcg,35-44,0.21902296545454375,baseline
0.95,ndcg,45-49,0.17201205770758077,baseline
0.95,ndcg,50-55,0.12691837961999453,baseline
0.95,ndcg,56+,0.1370726962750365,baseline
0.95,hr,Overall,0.3015293312029217,baseline
0.95,hr,Male,0.30129526052399175,baseline
0.95,hr,Female,0.29159212880143115,baseline
0.95,hr,Under 18,0.3054466230936819,baseline
0.95,hr,18-24,0.29105571847507333,baseline
0.95,hr,25-34,0.3069016152716593,baseline
0.95,hr,35-44,0.33413461538461536,baseline
0.95,hr,45-49,0.24324324324324326,baseline
0.95,hr,50-55,0.18,baseline
0.95,hr,56+,0.23333333333333334,baseline
0.95,recall,Overall,0.024321063643972657,baseline
0.95,recall,Male,0.022972020747230013,baseline
0.95,recall,Female,0.024449449314599084,baseline
0.95,recall,Under 18,0.024326629018031076,baseline
0.95,recall,18-24,0.02293625005984219,baseline
0.95,recall,25-34,0.024135155133591633,baseline
0.95,recall,35-44,0.022306432148215236,baseline
0.95,recall,45-49,0.014448372485661836,baseline
0.95,recall,50-55,0.014689359198855372,baseline
0.95,recall,56+,0.011081392456695243,baseline
0.95,precision,Overall,0.05702655405919502,baseline
0.95,precision,Male,0.05662349131586694,baseline
0.95,precision,Female,0.054427549194991064,baseline
0.95,precision,Under 18,0.056688453159041405,baseline
0.95,precision,18-24,0.054349951124144674,baseline
0.95,precision,25-34,0.05800293685756241,baseline
0.95,precision,35-44,0.06225961538461538,baseline
0.95,precision,45-49,0.056756756756756746,baseline
0.95,precision,50-55,0.052000000000000005,baseline
0.95,precision,56+,0.045000000000000005,baseline
0.95,LIR,Overall,0.0599346788647106,baseline
0.95,LIR,Male,0.06149888402579095,baseline
0.95,LIR,Female,0.05514129372229773,baseline
0.95,LIR,Under 18,0.05398570550714413,baseline
0.95,LIR,18-24,0.06510441912756582,baseline
0.95,LIR,25-34,0.058624641727220816,baseline
0.95,LIR,35-44,0.04985755258342139,baseline
0.95,LIR,45-49,0.06407895946389626,baseline
0.95,LIR,50-55,0.033651337902266626,baseline
0.95,LIR,56+,0.06514231052586128,baseline
0.95,SEP,Overall,0.8763715597910752,baseline
0.95,SEP,Male,0.875777221469814,baseline
0.95,SEP,Female,0.8776335440517049,baseline
0.95,SEP,Under 18,0.8771710345936206,baseline
0.95,SEP,18-24,0.8754412409592705,baseline
0.95,SEP,25-34,0.8768515634881254,baseline
0.95,SEP,35-44,0.8737363664474844,baseline
0.95,SEP,45-49,0.8906424162182262,baseline
0.95,SEP,50-55,0.8665703966025603,baseline
0.95,SEP,56+,0.8815153430840417,baseline
0.95,ETD,Overall,0.29345566027713277,baseline
0.95,ETD,Male,0.2949272802213979,baseline
0.95,ETD,Female,0.2926774784434616,baseline
0.95,ETD,Under 18,0.2939632545931759,baseline
0.95,ETD,18-24,0.2949945967187347,baseline
0.95,ETD,25-34,0.29499421296296297,baseline
0.95,ETD,35-44,0.2911877394636016,baseline
0.95,ETD,45-49,0.2981715893108297,baseline
0.95,ETD,50-55,0.2797619047619047,baseline
0.95,ETD,56+,0.27614379084967317,baseline
1.0,ndcg,Overall,0.19699498897658932,baseline
1.0,ndcg,Male,0.19744398880184813,baseline
1.0,ndcg,Female,0.19111510725859554,baseline
1.0,ndcg,Under 18,0.19824689282521774,baseline
1.0,ndcg,18-24,0.19277614439357882,baseline
1.0,ndcg,25-34,0.19899095017162174,baseline
1.0,ndcg,35-44,0.21902296545454375,baseline
1.0,ndcg,45-49,0.17201205770758077,baseline
1.0,ndcg,50-55,0.12691837961999453,baseline
1.0,ndcg,56+,0.1370726962750365,baseline
1.0,hr,Overall,0.3015293312029217,baseline
1.0,hr,Male,0.30129526052399175,baseline
1.0,hr,Female,0.29159212880143115,baseline
1.0,hr,Under 18,0.3054466230936819,baseline
1.0,hr,18-24,0.29105571847507333,baseline
1.0,hr,25-34,0.3069016152716593,baseline
1.0,hr,35-44,0.33413461538461536,baseline
1.0,hr,45-49,0.24324324324324326,baseline
1.0,hr,50-55,0.18,baseline
1.0,hr,56+,0.23333333333333334,baseline
1.0,recall,Overall,0.024321063643972657,baseline
1.0,recall,Male,0.022972020747230013,baseline
1.0,recall,Female,0.024449449314599084,baseline
1.0,recall,Under 18,0.024326629018031076,baseline
1.0,recall,18-24,0.02293625005984219,baseline
1.0,recall,25-34,0.024135155133591633,baseline
1.0,recall,35-44,0.022306432148215236,baseline
1.0,recall,45-49,0.014448372485661836,baseline
1.0,recall,50-55,0.014689359198855372,baseline
1.0,recall,56+,0.011081392456695243,baseline
1.0,precision,Overall,0.05702655405919502,baseline
1.0,precision,Male,0.05662349131586694,baseline
1.0,precision,Female,0.054427549194991064,baseline
1.0,precision,Under 18,0.056688453159041405,baseline
1.0,precision,18-24,0.054349951124144674,baseline
1.0,precision,25-34,0.05800293685756241,baseline
1.0,precision,35-44,0.06225961538461538,baseline
1.0,precision,45-49,0.056756756756756746,baseline
1.0,precision,50-55,0.052000000000000005,baseline
1.0,precision,56+,0.045000000000000005,baseline
1.0,LIR,Overall,0.0599346788647106,baseline
1.0,LIR,Male,0.06149888402579095,baseline
1.0,LIR,Female,0.05514129372229773,baseline
1.0,LIR,Under 18,0.05398570550714413,baseline
1.0,LIR,18-24,0.06510441912756582,baseline
1.0,LIR,25-34,0.058624641727220816,baseline
1.0,LIR,35-44,0.04985755258342139,baseline
1.0,LIR,45-49,0.06407895946389626,baseline
1.0,LIR,50-55,0.033651337902266626,baseline
1.0,LIR,56+,0.06514231052586128,baseline
1.0,SEP,Overall,0.8763715597910752,baseline
1.0,SEP,Male,0.875777221469814,baseline
1.0,SEP,Female,0.8776335440517049,baseline
1.0,SEP,Under 18,0.8771710345936206,baseline
1.0,SEP,18-24,0.8754412409592705,baseline
1.0,SEP,25-34,0.8768515634881254,baseline
1.0,SEP,35-44,0.8737363664474844,baseline
1.0,SEP,45-49,0.8906424162182262,baseline
1.0,SEP,50-55,0.8665703966025603,baseline
1.0,SEP,56+,0.8815153430840417,baseline
1.0,ETD,Overall,0.29345566027713277,baseline
1.0,ETD,Male,0.2949272802213979,baseline
1.0,ETD,Female,0.2926774784434616,baseline
1.0,ETD,Under 18,0.2939632545931759,baseline
1.0,ETD,18-24,0.2949945967187347,baseline
1.0,ETD,25-34,0.29499421296296297,baseline
1.0,ETD,35-44,0.2911877394636016,baseline
1.0,ETD,45-49,0.2981715893108297,baseline
1.0,ETD,50-55,0.2797619047619047,baseline
1.0,ETD,56+,0.27614379084967317,baseline
